origin,destination,count
CHA,SXF,1000
CHA,TEX,1000
BKN,CAN,1000
MIL,FWN,1000
MIL,MNE,1000
CHI,IWA,1000
CLE,CAN,2000
CLE,SCW,1000
BOS,DEL,1000
BOS,MNE,1000
BOS,RGV,1000
MEM,RGV,1000
MEM,SCW,1000
ATL,AUS,1000
ATL,BAK,1000
ATL,MNE,1000
MIA,SXF,2000
UTA,IWA,1000
SAC,SPG,1000
NYK,ERI,1000
LAL,DEL,1000
LAL,LAD,2000
ORL,SCW,1000
ORL,SPG,1000
NOH,LAD,1000
NOH,TEX,1000
HOU,AUS,1000
HOU,RGV,1000
PHI,BAK,1000
PHI,IWA,1000
PHI,SCW,1000
PHI,SPG,3000
SAS,AUS,1000
SAS,IWA,1000
SAS,LAD,1000
OKC,TUL,4000
MIN,IWA,1000
GSW,SCW,4000
SXF,CHA,1000
TEX,CHA,1000
CAN,BKN,1000
FWN,MIL,1000
MNE,MIL,1000
IWA,CHI,1000
CAN,CLE,2000
SCW,CLE,1000
DEL,BOS,1000
MNE,BOS,1000
RGV,BOS,1000
RGV,MEM,1000
SCW,MEM,1000
AUS,ATL,1000
BAK,ATL,1000
MNE,ATL,1000
SXF,MIA,2000
IWA,UTA,1000
SPG,SAC,1000
ERI,NYK,1000
DEL,LAL,1000
LAD,LAL,2000
SCW,ORL,1000
SPG,ORL,1000
LAD,NOH,1000
TEX,NOH,1000
AUS,HOU,1000
RGV,HOU,1000
BAK,PHI,1000
IWA,PHI,1000
SCW,PHI,1000
SPG,PHI,3000
AUS,SAS,1000
IWA,SAS,1000
LAD,SAS,1000
TUL,OKC,4000
IWA,MIN,1000
SCW,GSW,4000
